trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1.0}",25,0,-131.1514080116514,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.05, 'e': 1.0}",25,0,-129.933977440425,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.05, 'e': 1.0}",30,0,-96.03157018431746,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.05, 'e': 1.0}",20,0,-140.07459736947595,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.05, 'e': 1.0}",20,0,-58.82030921995638,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.05, 'e': 1.0}",25,0,-57.37826813690914,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.05, 'e': 1.0}",20,0,-16.590101613203025,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.05, 'e': 1.0}",20,0,-42.90022429030319,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.05, 'e': 1.0}",25,0,-67.57778481831917,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.05, 'e': 1.0}",25,0,-86.4297539092197,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.05, 'e': 1.0}",20,0,-85.65387436837672,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.05, 'e': 1.0}",20,0,-137.5822405328667,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.05, 'e': 1.0}",20,0,-180.0494856885398,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.05, 'e': 1.0}",20,0,-84.15402220159184,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.05, 'e': 1.0}",20,0,-98.62450655588759,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.05, 'e': 1.0}",25,0,-189.98491934933875,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.05, 'e': 1.0}",35,0,-110.0701047216505,"{0: 21, 1: 5, 2: 7, 3: 2, 4: 0}",0
18,False,"{'a': 0.05, 'e': 1.0}",25,0,-80.9491541037407,"{0: 14, 1: 9, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.05, 'e': 1.0}",20,0,-89.54617854740928,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
20,False,"{'a': 0.05, 'e': 1.0}",25,0,-15.583717600204125,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
21,False,"{'a': 0.05, 'e': 1.0}",25,1,-177.33735241504564,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 3}",1
22,False,"{'a': 0.05, 'e': 1.0}",25,0,-145.11335037273935,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.05, 'e': 1.0}",20,0,-65.43649523352018,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.05, 'e': 1.0}",20,6,-76.36592316124802,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
25,False,"{'a': 0.05, 'e': 1.0}",30,0,-189.16462997627698,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",0
26,False,"{'a': 0.05, 'e': 1.0}",30,0,-252.57559367585753,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
