trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.25593839820102,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.32864545198186,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.39550912649324,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.54422065345572,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-193.01392950982967,"{0: 21, 1: 2, 2: 7, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.00434600919422,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.957490444698,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.34866789050164,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-178.04215520829626,"{0: 19, 1: 7, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-220.67049257161307,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-219.97097731576386,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,19,2.5785576124765575,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-207.57184716407045,"{0: 19, 1: 7, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-45.46353154016745,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,5,-155.88984560009862,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.6096160774107,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-29.907798800925143,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.18705146579373,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-205.4784166841241,"{0: 13, 1: 3, 2: 12, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.21572213953604,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-140.34837073827686,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-158.66156707001016,"{0: 8, 1: 1, 2: 8, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-173.67532537533387,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",35,0,-117.64403623259219,"{0: 23, 1: 2, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-103.76644733814977,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-175.7227053830227,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-135.6423257303696,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-214.3879456426271,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",20,0,-107.0343232849226,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-179.6107245441306,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
